slice,topic_id,count,top_words,l1,l2,l3,label_full,core_topic,periphery_topic,heterogeneous,coverage,ring_1_count,ring_2_count,ring_3_count
2023-H1,10,232,"[""вода"", ""река"", ""снег"", ""лёд"", ""житель"", ""улица"", ""дорога"", ""коммунальный"", ""затопить"", ""дом""]",Общество,Жилищно-коммунальное хозяйство и благоустройство,Последствия погодных явлений и коммунальные проблемы,Общество -> Жилищно-коммунальное хозяйство и благоустройство -> Последствия погодных явлений и коммунальные проблемы,"Жители регионов сталкиваются с массовыми подтоплениями улиц и дворов из-за таяния снега, что вызывает жалобы на бездействие коммунальных служб.","Жильцы в различных регионах сталкиваются с коммунальными авариями, проблемами с отоплением, горячей водой и качеством водопроводной воды.",False,0.95,7,69,156
2023-H1,11,222,"[""умереть"", ""скончаться"", ""прощание"", ""год жизнь"", ""модельер"", ""возраст год"", ""смерть"", ""жизнь"", ""возраст"", ""актёр""]",Общество,Смертность и некрологи,Уход из жизни известных личностей,Общество -> Смертность и некрологи -> Уход из жизни известных личностей,Ядро посвящено некрологу заслуженного артиста РФ Валерия Громовикова в возрасте 77 лет.,"Периферия содержит некрологи и сообщения о кончине различных известных личностей, включая политиков, деятелей культуры и учёных, а также информацию о траурных мероприятиях.",False,1.0,1,32,189
2023-H1,12,218,"[""тело"", ""труп"", ""наслать"", ""мужчина"", ""убийство"", ""смерть"", ""обнаружить"", ""убить"", ""женщина"", ""погибший""]",Происшествия,Криминал и несчастные случаи,Смертельные инциденты и расследования,Происшествия -> Криминал и несчастные случаи -> Смертельные инциденты и расследования,"В ядре кластера преобладают сообщения об обнаружении тел, убийствах и смертях, связанных с насилием или трагическими обстоятельствами.","На периферии продолжают освещаться случаи убийств, обнаружения трупов, а также другие несчастные случаи со смертельным исходом, включая криминальные и бытовые трагедии.",False,0.95,0,17,201
2023-H1,13,197,"[""песок"", ""кремль"", ""песков"", ""дмитрий песок"", ""дмитрий песков"", ""дмитрий"", ""путин"", ""заявление"", ""урегулирование"", ""президент""]",Политика,Государственное управление и коммуникации,Заявления официальных лиц и Кремля,Политика -> Государственное управление и коммуникации -> Заявления официальных лиц и Кремля,Ядро сфокусировано на прямых ответах и комментариях пресс-секретаря президента РФ Дмитрия Пескова по вопросам безопасности и международной реакции на действия России.,"Периферия затрагивает более широкий круг тем, включая международные отношения (ОДКБ, ЕАЭС), а также общие заявления президента Путина о ходе военных действий.",False,0.95,81,66,50
2023-H1,14,195,"[""санкция"", ""санкция против"", ""пакет"", ""против"", ""пакет санкция"", ""ввести"", ""санкционный"", ""список"", ""ввести санкция"", ""евросоюз""]",Экономика,Международные экономические ограничения,Введение и обход санкций,Экономика -> Международные экономические ограничения -> Введение и обход санкций,Ядро посвящено обсуждению и введению новых пакетов санкций против России со стороны западных стран и ЕС.,"Периферия описывает конкретные меры, связанные с обходом уже действующих санкций (например, запрет доступа в порты) и введением ограничений Украиной.",False,0.95,11,70,114
2023-H1,15,194,"[""певица"", ""звезда"", ""поклонник"", ""актриса"", ""артистка"", ""супруг"", ""брак"", ""муж"", ""фанат"", ""сын""]",Культура,Жизнь и отношения знаменитостей,Личная жизнь артистов и медийных лиц,Культура -> Жизнь и отношения знаменитостей -> Личная жизнь артистов и медийных лиц,"Ядро сфокусировано на личной жизни и семейном положении известных российских и зарубежных артистов, включая их браки и супругов.","Периферия затрагивает разводы, повторные браки, а также личные драмы и скандалы, связанные с известными личностями.",False,0.95,0,49,145
2023-H1,16,192,"[""учёный"", ""организм"", ""клиника"", ""заболевание"", ""врач"", ""лечение"", ""мозг"", ""сон"", ""пациент"", ""здоровый""]",Наука,Медицина и Здоровье,Исследования заболеваний и методы лечения,Наука -> Медицина и Здоровье -> Исследования заболеваний и методы лечения,"Ядро кластера фокусируется на научных исследованиях, связывающих образ жизни (брак) и диету с риском развития заболеваний (диабет, инсульт, деменция), а также на важности качественной реабилитации пациентов.","Периферия затрагивает более широкий спектр тем, связанных со здоровьем, включая мифы о медицинских процедурах (коррекция зрения), личный опыт пациентов с онкологией и мнения врачей-косметологов о бьюти-процедурах.",True,0.95,0,16,176
2023-H1,17,185,"[""погибнуть"", ""погибший"", ""проститься"", ""сво"", ""похоронить"", ""мужество"", ""посмертно"", ""орден мужество"", ""спецоперация"", ""орден""]",Общество,Военная служба и потери,Потери среди военнослужащих в ходе СВО,Общество -> Военная служба и потери -> Потери среди военнослужащих в ходе СВО,"Ядро посвящено сообщениям о гибели конкретных военнослужащих, участвовавших в специальной военной операции (СВО), и церемониях прощания с ними.","Периферия описывает гибель мобилизованных и контрактников в ходе СВО, а также увековечивание их памяти (например, переименование улиц).",False,1.0,13,88,84
2023-H1,18,184,"[""дтп"", ""водитель"", ""авария"", ""столкнуться"", ""автомобиль"", ""пострадать"", ""легковушка"", ""произойти"", ""иномарка"", ""машина""]",Происшествия,Транспортные происшествия,Дорожно-транспортные происшествия (ДТП),Происшествия -> Транспортные происшествия -> Дорожно-транспортные происшествия (ДТП),"В ядре описываются столкновения нескольких транспортных средств, приводящие к госпитализации пострадавших.","На периферии рассматриваются различные дорожно-транспортные происшествия, включая виновников аварий и столкновения с участием мотоциклистов и грузовиков.",False,0.98,8,87,89
2023-H1,19,175,"[""франция"", ""пенсионный"", ""реформа"", ""пенсионный реформа"", ""париж"", ""макрон"", ""протест"", ""беспорядок"", ""протестовать"", ""французский""]",Политика,Внутренние реформы и протестная активность,Пенсионные реформы и массовые протесты,Политика -> Внутренние реформы и протестная активность -> Пенсионные реформы и массовые протесты,"Ядро сфокусировано на протестах и беспорядках в Париже, вызванных пенсионной реформой президента Макрона.","Периферия обсуждает продолжение реформы, падение рейтинга Макрона, а также приводит примеры протестов в других странах (Прага, Бразилия).",False,0.95,46,50,79
2023-H1,20,171,"[""взрыв"", ""газ"", ""взрыв газ"", ""дом"", ""жилой дом"", ""жилой"", ""газовый"", ""пострадать"", ""линейный"", ""произойти взрыв""]",Происшествия,Аварии и катастрофы,Взрывы бытового газа в жилых зданиях,Происшествия -> Аварии и катастрофы -> Взрывы бытового газа в жилых зданиях,"В ядре кластера сообщается о происшествиях, связанных со взрывами газовоздушной смеси в жилых домах, повлекших разрушения и пострадавших.","Периферия затрагивает последствия взрывов (выплаты семьям) и причины аварий, связанные с повреждением газопроводов или законодательными инициативами.",False,0.95,31,72,68
2023-H1,21,163,"[""тревога"", ""воздушный тревога"", ""воздушный"", ""взрыв"", ""область украина"", ""объявить"", ""харьковский"", ""днепропетровский"", ""объявить воздушный"", ""прогреметь""]",Безопасность,Военные действия и угрозы,Воздушные атаки и тревоги на территории Украины,Безопасность -> Военные действия и угрозы -> Воздушные атаки и тревоги на территории Украины,"В ядре сообщается о воздушных тревогах и взрывах в различных областях Украины, включая Одесскую и Днепропетровскую.",На периферии обсуждаются эвакуация из-за нестабильной ситуации в Харьковской области и взрывы в Луганске.,False,0.95,94,42,27
2023-H1,22,158,"[""фсб"", ""задержать"", ""теракт"", ""спецслужба"", ""фсб задержать"", ""покушение"", ""подозревать"", ""террористический"", ""сбу"", ""приднестровье""]",Безопасность,Противодействие терроризму и экстремизму,Предотвращение терактов и диверсий спецслужбами,Безопасность -> Противодействие терроризму и экстремизму -> Предотвращение терактов и диверсий спецслужбами,"ФСБ сообщает о пресечении подготовки терактов и покушений на территории России и Крыма, координируемых украинскими спецслужбами.",Сотрудники ФСБ предотвращают покушения на должностных лиц и задерживают подозреваемых в шпионаже и диверсиях на новых территориях и в приграничных регионах.,False,0.98,6,59,93
2023-H1,23,152,"[""школа"", ""подросток"", ""девочка"", ""нож"", ""школьница"", ""избить"", ""парень"", ""напасть"", ""ученик"", ""школьник""]",Общество,Правонарушения и преступность,Насилие с участием несовершеннолетних,Общество -> Правонарушения и преступность -> Насилие с участием несовершеннолетних,"Ядро описывает уголовное дело против подростков, устроивших групповое избиение.","Периферия затрагивает широкий спектр преступлений, включая изнасилование, нападения с ножом и избиения, совершенные или совершенные в отношении детей и подростков.",False,0.95,1,49,102
2023-H1,24,149,"[""эрдоган"", ""турция"", ""выборы"", ""президент турция"", ""президентский"", ""тур"", ""голос"", ""второй тур"", ""президентский выборы"", ""реджеп""]",Политика,Избирательные процессы,Президентские выборы в Турции,Политика -> Избирательные процессы -> Президентские выборы в Турции,Ядро посвящено подведению итогов и ходу второго тура президентских выборов в Турции с фокусом на Реджепа Эрдогана.,"Периферия затрагивает вопросы переноса выборов, внешнеполитические заявления Эрдогана (Сирия, АЭС) и его публичную активность.",False,0.95,53,43,53
2023-H1,25,148,"[""лукашенко"", ""белоруссия"", ""александр лукашенко"", ""президент белоруссия"", ""ядерный оружие"", ""ядерный"", ""белорусский"", ""оружие"", ""александр"", ""президент""]",Политика,Международные отношения и безопасность,Отношения России и Белоруссии и военное сотрудничество,Политика -> Международные отношения и безопасность -> Отношения России и Белоруссии и военное сотрудничество,"Ядро сфокусировано на телефонных переговорах Александра Лукашенко с Владимиром Путиным, в частности, касающихся урегулирования внутрироссийского мятежа ЧВК «Вагнер».","Периферия освещает рабочие визиты Лукашенко в Москву, заявления о ситуации на Украине и прибытие российских войск в Белоруссию в рамках ротации.",False,0.95,30,71,47
2023-H1,26,147,"[""взятка"", ""суд"", ""размер"", ""получение"", ""крупный размер"", ""бывший"", ""дело"", ""особо крупный"", ""уголовный дело"", ""приговор""]",Общество,Коррупция и правонарушения,Уголовные дела о взяточничестве и злоупотреблении полномочиями,Общество -> Коррупция и правонарушения -> Уголовные дела о взяточничестве и злоупотреблении полномочиями,Ядро кластера посвящено задержаниям и обвинениям бывших чиновников во взяточничестве в особо крупном размере.,"Периферия затрагивает более широкий спектр уголовных дел, включая хищения и превышение полномочий, но с сохранением темы приговоров бывшим должностным лицам.",False,0.95,3,36,108
2023-H1,27,142,"[""гэс"", ""каховский"", ""каховский гэс"", ""херсонский область"", ""херсонский"", ""разрушение"", ""вода"", ""каховка"", ""новый каховка"", ""сальдо""]",Происшествия,Чрезвычайные ситуации и катастрофы,Разрушение гидротехнических сооружений и наводнения,Происшествия -> Чрезвычайные ситуации и катастрофы -> Разрушение гидротехнических сооружений и наводнения,"Ядро сфокусировано на немедленных последствиях прорыва дамбы Каховской ГЭС, включая введение режима ЧС и эвакуацию населения из-за подъема уровня воды.","Периферия затрагивает сопутствующие гуманитарные и административные вопросы в пострадавшем регионе, такие как обеспечение медикаментами и выдача паспортов.",True,0.95,50,57,35
2023-H1,28,139,"[""танк"", ""leopard"", ""танк leopard"", ""германия"", ""украина"", ""немецкий"", ""украина танк"", ""поставка"", ""передать"", ""польша""]",Безопасность,Военно-техническое сотрудничество,Поставки западной бронетехники,Безопасность -> Военно-техническое сотрудничество -> Поставки западной бронетехники,Ядро сфокусировано на заявлениях и планах Германии по поставкам танков Leopard Украине.,"Периферия затрагивает обсуждение поставок различного вооружения (танки, истребители) Украине от западных стран, включая Великобританию и Словакию.",False,0.95,41,55,43
2023-H1,29,136,"[""уничтожить"", ""направление"", ""всу"", ""сутки"", ""купянск"", ""донецкий"", ""днр"", ""склад боеприпас"", ""склад"", ""гаубица""]",Безопасность,Военные действия,Сводки о ходе боевых действий,Безопасность -> Военные действия -> Сводки о ходе боевых действий,"Ядро документов фокусируется на отчетах Минобороны РФ об уничтожении объектов и позиций ВСУ на различных направлениях фронта, включая Купянское и Донецкое.","Периферия содержит как продолжение военных сводок (сбитый истребитель, заявления о боеприпасах), так и сопутствующие темы, такие как выдача дипломов в новых регионах.",False,0.95,80,29,27
2023-H1,30,133,"[""предложить новость"", ""предложить"", ""новость"", ""могоча"", ""браться"", ""новость новый"", ""кинофестиваль"", ""кончиться"", ""концессия"", ""всё равно""]",Общество,СМИ и Коммуникации,Приём новостей и обратной связи,Общество -> СМИ и Коммуникации -> Приём новостей и обратной связи,Ядро кластера состоит из прямых призывов или инструкций к пользователям по предложению новостей.,"Периферия включает примеры новостей, которые были предложены, затрагивая темы увольнений главврачей и проблем в образовании.",False,0.95,94,9,30
2023-H1,31,129,"[""дтп"", ""водитель"", ""погибнуть"", ""авария"", ""трасса"", ""смертельный"", ""смертельный дтп"", ""грузовик"", ""легковушка"", ""автомобиль""]",Общество,Происшествия на транспорте,Смертельные дорожно-транспортные происшествия,Общество -> Происшествия на транспорте -> Смертельные дорожно-транспортные происшествия,"Ядро кластера посвящено смертельным ДТП на федеральных трассах с участием легковых и грузовых автомобилей, повлекшим гибель людей.","Периферия включает более широкий спектр транспортных происшествий, включая ДТП с участием мотоциклистов и наезды грузового транспорта на пешеходов, а также юридические последствия аварий.",False,0.95,12,82,35
2023-H1,32,126,"[""роскосмос"", ""корабль"", ""космонавт"", ""космический"", ""мкс"", ""орбита"", ""петелин"", ""космос"", ""дмитрий петелин"", ""кикина""]",Наука,Космические исследования,Пилотируемые полёты и станции,Наука -> Космические исследования -> Пилотируемые полёты и станции,Обеспечение безопасности возвращения экипажа Международной космической станции на Землю в случае аварии.,"Сообщения о запуске ракет и наблюдении космических явлений, а также о работе космонавтов на орбите.",False,0.98,1,32,93
2023-H1,33,121,"[""гладков"", ""белгородский"", ""белгородский область"", ""обстрел"", ""вячеслав гладков"", ""шебекино"", ""вячеслав"", ""снаряд"", ""округ"", ""губернатор""]",Безопасность,Чрезвычайные ситуации и происшествия,Обстрелы и диверсии в приграничных регионах,Безопасность -> Чрезвычайные ситуации и происшествия -> Обстрелы и диверсии в приграничных регионах,"Ядро кластера посвящено сообщениям губернатора Вячеслава Гладкова о жертвах и пострадавших в результате обстрелов населенных пунктов Белгородской области, таких как Шебекино и Валуйки.","Периферия описывает меры, принимаемые властями в ответ на инциденты, включая усиление контроля на въезде, закрытие населенных пунктов и эвакуацию жителей из пострадавших районов.",False,1.0,78,33,10
2023-H1,34,121,"[""компания"", ""бренд"", ""сделка"", ""бизнес"", ""производитель"", ""продажа"", ""российский рынок"", ""group"", ""рынок"", ""актив""]",Экономика,Корпоративные изменения и рынки,Сделки и уход иностранных компаний,Экономика -> Корпоративные изменения и рынки -> Сделки и уход иностранных компаний,Ядро фокусируется на процессе продажи или передачи активов крупными иностранными производителями и брендами на российском рынке.,"Периферия описывает конкретные примеры одобренных сделок по продаже российского бизнеса (например, шинного или IT-сегмента) и окончательный уход иностранных компаний с российского рынка.",False,0.95,0,29,92
2023-H1,35,120,"[""выборы"", ""край"", ""пост"", ""должность"", ""глава"", ""губернатор"", ""забайкалье"", ""заместитель"", ""отставка"", ""мэр""]",Политика,Государственное управление,Кадровые перестановки в региональной власти,Политика -> Государственное управление -> Кадровые перестановки в региональной власти,"Ядро кластера фокусируется на смене руководящих постов (губернатор, мэр, заместитель) и кадровых назначениях в региональных администрациях.","Периферия затрагивает общие проблемы регионального управления, такие как распределение бюджета, скандалы в строительстве и общие меры правительства Забайкальского края.",False,0.95,0,12,108
2023-H1,36,120,"[""донецк"", ""обстрел"", ""обстрелять"", ""погибнуть"", ""днр"", ""представительство"", ""ракета"", ""петровский"", ""всу"", ""сторона всу""]",Безопасность,Вооружённые конфликты,Обстрелы и жертвы среди гражданского населения,Безопасность -> Вооружённые конфликты -> Обстрелы и жертвы среди гражданского населения,Ядро сфокусировано на ежедневных обстрелах Донецка и ДНР с указанием количества выпущенных снарядов и пострадавших объектов.,"Периферия описывает случаи гибели и ранений мирных жителей в результате ударов по населенным пунктам в Донецкой области и других регионах, затронутых конфликтом.",False,1.0,42,53,25
2023-H1,37,118,"[""день"", ""календарь"", ""примета"", ""народный"", ""предок"", ""урожай"", ""друг"", ""погода"", ""день день"", ""добрый утро""]",Общество,Традиции и быт,Народный календарь и приметы,Общество -> Традиции и быт -> Народный календарь и приметы,"Ядро посвящено поздравлениям с добрым утром и описанию примет и традиций, связанных с конкретными датами в народном календаре.","Периферия также обсуждает народный календарь, приметы, православные праздники (например, Прощеное воскресенье) и связанные с датами поверья.",False,0.95,7,40,71
2023-H1,38,115,"[""нефть"", ""цена"", ""газ"", ""российский нефть"", ""потолок"", ""баррель"", ""потолок цена"", ""нефтепродукт"", ""добыча"", ""европа""]",Экономика,Сырьевые рынки и торговля,Регулирование цен на энергоносители,Экономика -> Сырьевые рынки и торговля -> Регулирование цен на энергоносители,"Ядро сфокусировано на механизмах ценового потолка, установленного Западом на российскую нефть и нефтепродукты, и его фактической эффективности.",Периферия обсуждает изменение структуры поставок нефти в Европу и долгосрочные запасы ресурсов в России.,False,0.95,12,53,50
2023-H1,39,113,"[""концерт"", ""назаров"", ""артист"", ""меладзе"", ""спектакль"", ""отменить"", ""актёр"", ""васильев"", ""певец"", ""театр""]",Культура,Деятельность и статус деятелей искусства,Отмена и общественная реакция на высказывания артистов,Культура -> Деятельность и статус деятелей искусства -> Отмена и общественная реакция на высказывания артистов,Ядро сфокусировано на скандалах и призывах к бойкоту концертов Валерия Меладзе из-за его политических высказываний.,"Периферия расширяется до отмены выступлений других артистов (Арбенина, Назаров) и инцидентов на концертах или в театрах, связанных с их позицией или поведением.",False,1.0,2,18,93
2023-H1,40,110,"[""пропасть"", ""поиск"", ""местонахождение"", ""волонтёр"", ""поисковый"", ""одетый"", ""искать"", ""отряд"", ""уйти"", ""мальчик""]",Общество,Происшествия и чрезвычайные ситуации,Поиск пропавших людей,Общество -> Происшествия и чрезвычайные ситуации -> Поиск пропавших людей,"В ядре кластера сообщается о начале поисков взрослого мужчины, ушедшего из дома.","Периферия содержит информацию о прекращении поисков пропавших, а также о нахождении пропавших людей с помощью уличных камер.",False,1.0,1,44,65
2023-H1,41,109,"[""артёмовск"", ""бахмут"", ""пушилин"", ""глава днр"", ""вагнер"", ""врио глава"", ""днр"", ""денис пушилин"", ""врио"", ""артёмовский""]",Безопасность,Вооружённые конфликты,Ход боевых действий и заявления официальных лиц,Безопасность -> Вооружённые конфликты -> Ход боевых действий и заявления официальных лиц,Ядро сфокусировано на заявлениях советника врио главы ДНР и украинской стороны о критической ситуации и скором освобождении города Артемовска (Бахмута).,"Периферия затрагивает сообщения о потерях среди наемников, оборонявших окраины Артемовска, и слухи о полном взятии города ЧВК «Вагнер».",False,0.98,25,52,32
