type,topic_B,topic_A,cosine,jaccard,words_B,words_A
Stable,61,15,0.9732240438461304,0.5384615384615384,"[""актриса"", ""брак"", ""дочь"", ""звезда"", ""муж""]","[""актриса"", ""артистка"", ""брак"", ""звезда"", ""муж""]"
Merged,3,"[16, 173]",0.9630085229873657,0.17647058823529413,"[""врач"", ""заболевание"", ""здоровье"", ""назвать"", ""организм""]","[""врач"", ""заболевание"", ""здоровый"", ""клиника"", ""лечение""]"
Stable,77,17,0.9810182452201843,0.25,"[""боевой"", ""боец"", ""зона"", ""зона сво"", ""погибнуть""]","[""мужество"", ""орден"", ""орден мужество"", ""погибнуть"", ""погибший""]"
Merged,21,"[18, 79]",0.9732505679130554,0.5384615384615384,"[""авария"", ""автомобиль"", ""водитель"", ""врезаться"", ""дтп""]","[""авария"", ""автомобиль"", ""водитель"", ""дтп"", ""иномарка""]"
Merged,68,"[19, 175]",0.8371472358703613,0.17647058823529413,"[""аграрий"", ""акция"", ""граница"", ""зерно"", ""польский""]","[""беспорядок"", ""макрон"", ""париж"", ""пенсионный"", ""пенсионный реформа""]"
Merged,156,"[20, 130]",0.838961124420166,0.1111111111111111,"[""академия"", ""балкон"", ""беглов"", ""взрыв"", ""военный академия""]","[""взрыв"", ""взрыв газ"", ""газ"", ""газовый"", ""дом""]"
Merged,49,"[21, 163]",0.932055652141571,0.42857142857142855,"[""взрыв"", ""воздушный"", ""воздушный тревога"", ""область украина"", ""прогреметь""]","[""взрыв"", ""воздушный"", ""воздушный тревога"", ""днепропетровский"", ""область украина""]"
Stable,86,22,0.9617587327957153,0.3333333333333333,"[""агент"", ""взрывной"", ""взрывной устройство"", ""готовить"", ""задержать""]","[""задержать"", ""подозревать"", ""покушение"", ""приднестровье"", ""сбу""]"
Stable,18,24,0.7499055862426758,0.05263157894736842,"[""выборы"", ""выборы президент"", ""голосование"", ""избиратель"", ""избирательный""]","[""второй тур"", ""выборы"", ""голос"", ""президент турция"", ""президентский""]"
Merged,6,"[26, 215]",0.9598219990730286,0.3333333333333333,"[""арест"", ""арестовать"", ""взятка"", ""иванов"", ""крупный размер""]","[""бывший"", ""взятка"", ""дело"", ""крупный размер"", ""особо крупный""]"
Stable,22,27,0.7561927437782288,0.05263157894736842,"[""вода"", ""дамба"", ""оренбург"", ""оренбургский"", ""оренбургский область""]","[""вода"", ""гэс"", ""каховка"", ""каховский"", ""каховский гэс""]"
Stable,136,28,0.8865639567375183,0.1111111111111111,"[""patriot"", ""великобритания"", ""евро"", ""закупка"", ""киев""]","[""leopard"", ""германия"", ""немецкий"", ""передать"", ""польша""]"
Stable,89,29,0.955642580986023,0.17647058823529413,"[""всу"", ""группировка"", ""контратака"", ""направление"", ""отразить""]","[""всу"", ""гаубица"", ""днр"", ""донецкий"", ""купянск""]"
Stable,30,31,0.9894452095031738,0.6666666666666666,"[""авария"", ""автомобиль"", ""водитель"", ""дтп"", ""легковушка""]","[""авария"", ""автомобиль"", ""водитель"", ""грузовик"", ""дтп""]"
Stable,41,32,0.9406317472457886,0.25,"[""запуск"", ""корабль"", ""космический"", ""космодром"", ""луна""]","[""дмитрий петелин"", ""кикина"", ""корабль"", ""космический"", ""космонавт""]"
Merged,12,"[33, 111, 225]",0.9565205574035645,0.5384615384615384,"[""атаковать"", ""белгородский"", ""белгородский область"", ""вячеслав"", ""вячеслав гладков""]","[""белгородский"", ""белгородский область"", ""вячеслав"", ""вячеслав гладков"", ""гладков""]"
Merged,215,"[34, 105, 221]",0.8582322001457214,0.1111111111111111,"[""газета"", ""коммерсантъ"", ""компания"", ""материал"", ""номер""]","[""group"", ""актив"", ""бизнес"", ""бренд"", ""компания""]"
Stable,48,35,0.9221022129058838,0.25,"[""администрация"", ""департамент"", ""должность"", ""занимать"", ""мэр""]","[""выборы"", ""глава"", ""губернатор"", ""должность"", ""забайкалье""]"
Stable,55,36,0.9544326663017273,0.25,"[""всу"", ""донецк"", ""лисичанск"", ""лнр"", ""луганск""]","[""всу"", ""днр"", ""донецк"", ""обстрел"", ""обстрелять""]"
Stable,193,37,0.8443918824195862,0.17647058823529413,"[""беда"", ""календарь"", ""кто"", ""кто ждать"", ""народный""]","[""день"", ""день день"", ""добрый утро"", ""друг"", ""календарь""]"
Stable,109,38,0.9239315986633301,0.17647058823529413,"[""баррель"", ""газ"", ""импорт"", ""миллион тонна"", ""нефть""]","[""баррель"", ""газ"", ""добыча"", ""европа"", ""нефтепродукт""]"
Stable,85,39,0.9325377345085144,0.25,"[""алла"", ""алла пугачёв"", ""артист"", ""выступление"", ""киркоров""]","[""актёр"", ""артист"", ""васильев"", ""концерт"", ""меладзе""]"
Stable,29,40,0.986388623714447,0.5384615384615384,"[""волонтёр"", ""волос"", ""искать"", ""местонахождение"", ""одетый""]","[""волонтёр"", ""искать"", ""мальчик"", ""местонахождение"", ""одетый""]"
Stable,227,41,0.7794550061225891,0.25,"[""авдеевка"", ""восстановление"", ""глава днр"", ""денис"", ""денис пушилин""]","[""артёмовск"", ""артёмовский"", ""бахмут"", ""вагнер"", ""врио""]"
Stable,134,42,0.9421328902244568,0.42857142857142855,"[""глава мид"", ""запад"", ""заявить лавров"", ""иностранный дело"", ""лавров""]","[""видео тасс"", ""глава мид"", ""иностранный дело"", ""лавров"", ""мид""]"
Stable,219,44,0.9166936278343201,0.42857142857142855,"[""выплата"", ""ежемесячный выплата"", ""капитал"", ""материнский"", ""материнский капитал""]","[""выплата"", ""капитал"", ""материнский"", ""материнский капитал"", ""пенсионер""]"
Stable,58,45,0.9234849810600281,0.1111111111111111,"[""граница"", ""граница россия"", ""латвия"", ""литва"", ""мид""]","[""варшава"", ""генконсульство"", ""дипломат"", ""дипломатический"", ""мид""]"
Stable,24,46,0.9506839513778687,0.25,"[""валиев"", ""игра"", ""мокнуть"", ""нейтральный"", ""олимпиада""]","[""допуск"", ""международный"", ""нейтральный"", ""олимпийский"", ""соревнование""]"
Merged,7,"[47, 92, 101, 159, 162]",0.9773606061935425,0.5384615384615384,"[""boeing"", ""авиакомпания"", ""аэропорт"", ""борт"", ""пассажир""]","[""авиакомпания"", ""аэропорт"", ""борт"", ""вылет"", ""лететь""]"
Stable,46,48,0.8663221597671509,0.1111111111111111,"[""больница"", ""доставка"", ""еда"", ""массовый"", ""отравиться""]","[""изъять"", ""мистер"", ""мистер сидр"", ""напиток"", ""отравиться""]"
Merged,42,"[49, 109, 226]",0.9320842027664185,0.25,"[""великий"", ""великий отечественный"", ""годовщина"", ""день победа"", ""красный площадь""]","[""битва"", ""великий"", ""волгоград"", ""курган"", ""мамаев""]"
Merged,70,"[50, 67, 127]",0.9261559247970581,0.5384615384615384,"[""вирус"", ""грипп"", ""заболеваемость"", ""заболевание"", ""инфекция""]","[""грипп"", ""заболеваемость"", ""заболевание"", ""заболеть"", ""инфекция""]"
Merged,37,"[52, 147, 154, 156, 201, 209]",0.7271371483802795,0.17647058823529413,"[""великий"", ""веровать"", ""пасха"", ""православный"", ""праздник""]","[""лавр"", ""митрополит"", ""монастырь"", ""монах"", ""павел""]"
Stable,76,53,0.9735958576202393,0.6666666666666666,"[""валюта"", ""доллар"", ""доллар евро"", ""евро"", ""курс""]","[""валюта"", ""валютный"", ""доллар"", ""евро"", ""курс""]"
Merged,4,"[54, 113, 148, 168, 183, 198, 216, 234, 236]",0.8582899570465088,0.25,"[""автобус"", ""движение"", ""маршрут"", ""метро"", ""ремонт""]","[""движение"", ""движение транспорт"", ""ограничить"", ""ограничить движение"", ""перекрыть""]"
Merged,31,"[55, 72]",0.9671993255615234,0.3333333333333333,"[""lada"", ""авто"", ""автоваз"", ""автомобиль"", ""бренд""]","[""hyundai"", ""lada"", ""автоваз"", ""автомобиль"", ""завод""]"
Stable,121,57,0.7727569341659546,0.05263157894736842,"[""арестант"", ""взять заложник"", ""заложник"", ""захват"", ""захват заложник""]","[""вагнер"", ""воронежский"", ""воронежский область"", ""контртеррористический"", ""контртеррористический операция""]"
Stable,69,58,0.9861756563186646,0.42857142857142855,"[""близнец"", ""ваш"", ""весы"", ""знак"", ""лев""]","[""апрель"", ""апрель апрель"", ""ваш"", ""весы"", ""дева""]"
Stable,125,59,0.9799913763999939,0.42857142857142855,"[""дмитрий"", ""дмитрий медведев"", ""зампред"", ""зампред совбез"", ""медведев""]","[""дмитрий"", ""дмитрий медведев"", ""зампред"", ""медведев"", ""совбез""]"
Merged,19,"[60, 89]",0.9252387881278992,0.25,"[""заочно"", ""заочно арестовать"", ""иноагент"", ""минюст"", ""объявить розыск""]","[""гершкович"", ""год колония"", ""заочно"", ""иноагент"", ""колония""]"
Merged,44,"[61, 174]",0.9430762529373169,0.1111111111111111,"[""башкирия"", ""зарплата"", ""работа"", ""работодатель"", ""руб""]","[""вакансия"", ""заработный плата"", ""зарплата"", ""месяц"", ""рубль""]"
Stable,56,63,0.9631916880607605,0.42857142857142855,"[""аферист"", ""деньга"", ""миллион"", ""миллион рубль"", ""мошенник""]","[""аферист"", ""деньга"", ""курьер"", ""мошенник"", ""пенсионер""]"
Stable,92,64,0.9777852892875671,0.25,"[""александр беглов"", ""дневник"", ""отобрать"", ""петербург"", ""петербург апрель""]","[""александр беглов"", ""беглов"", ""дайджест"", ""новость утро"", ""петербург""]"
Merged,140,"[65, 83]",0.7980042695999146,0.3333333333333333,"[""забайкалье"", ""забайкальский"", ""забайкальский край"", ""комсомолец"", ""комсомолец чита""]","[""забайкалье"", ""комсомолец"", ""комсомолец чита"", ""ленин"", ""московский""]"
Merged,14,"[66, 179]",0.9702109694480896,0.42857142857142855,"[""аренда"", ""жильё"", ""ипотека"", ""квартира"", ""льготный""]","[""аренда"", ""вторичный"", ""жильё"", ""квартира"", ""недвижимость""]"
Stable,188,68,0.9353368282318115,0.25,"[""арест"", ""блиновский"", ""блогер"", ""домашний"", ""домашний арест""]","[""арест"", ""блиновский"", ""блогер"", ""елена"", ""марафон""]"
Merged,186,"[69, 205]",0.8651514053344727,0.3333333333333333,"[""владлен"", ""военкор"", ""дарья"", ""кафе"", ""колония""]","[""взрыв"", ""владлен"", ""владлен татарский"", ""военкор"", ""военкор владлен""]"
Stable,103,70,0.7860912084579468,0.0,"[""бундесвер"", ""германия"", ""канцлер"", ""крымский"", ""крымский мост""]","[""газопровод"", ""газопровод северный"", ""диверсия"", ""подрыв"", ""поток""]"
Merged,230,"[71, 228]",0.8259580731391907,0.0,"[""аварийный"", ""александр бастрыкин"", ""барак"", ""бастрыкин"", ""дом""]","[""арбитражный"", ""волгоград"", ""волгоградский"", ""договор"", ""долг""]"
Stable,116,73,0.7267001271247864,0.0,"[""боливия"", ""генерал"", ""госпереворот"", ""государственный переворот"", ""переворот""]","[""белград"", ""вучича"", ""косово"", ""нато"", ""обострение""]"
Stable,38,74,0.9183046817779541,0.05263157894736842,"[""atacms"", ""атака"", ""атака всу"", ""всу севастополь"", ""губернатор""]","[""аксёнов"", ""беспилотник"", ""бпнуть"", ""глава крым"", ""крым""]"
Stable,115,75,0.9666303992271423,0.25,"[""жара"", ""житель самарский"", ""область"", ""область ждать"", ""область идти""]","[""житель"", ""житель самарский"", ""ковид"", ""младенец"", ""область""]"
Merged,107,"[77, 104]",0.7756551504135132,0.1111111111111111,"[""актриса"", ""артист"", ""врач"", ""госпитализация"", ""госпитализировать""]","[""ампутировать"", ""врач"", ""источник"", ""костомаров"", ""олимпийский""]"
Stable,172,78,0.9648949503898621,0.42857142857142855,"[""возбудить уголовный"", ""вор"", ""кража"", ""мужчина"", ""рубль""]","[""вор"", ""деньга"", ""кража"", ""магазин"", ""мужчина""]"
Merged,16,"[80, 93, 192, 214]",0.8678165674209595,0.17647058823529413,"[""байден"", ""дебаты"", ""джо"", ""джо байден"", ""дональд""]","[""бывший президент"", ""документ"", ""дональд"", ""дональд трамп"", ""обвинение""]"
Stable,75,81,0.7211524844169617,0.05263157894736842,"[""захаров"", ""мария"", ""мария захаров"", ""мид"", ""мид россия""]","[""зерновой"", ""зерновой сделка"", ""мид"", ""оон"", ""продление""]"
Merged,110,"[82, 166]",0.9648284316062927,0.3333333333333333,"[""блюдо"", ""десерт"", ""крем"", ""кухня"", ""меню""]","[""блюдо"", ""десерт"", ""заведение"", ""завтрак"", ""икра""]"
Merged,26,"[84, 140, 161]",0.9280178546905518,0.5384615384615384,"[""актёр"", ""главный роль"", ""картина"", ""кино"", ""оскар""]","[""актриса"", ""актёр"", ""день рождение"", ""кино"", ""оскар""]"
Merged,127,"[85, 88]",0.8671170473098755,0.3333333333333333,"[""блинкен"", ""госсекретарь"", ""госсекретарь сша"", ""китай"", ""китайский""]","[""китай"", ""китайский"", ""кнр"", ""кризис"", ""кризис украина""]"
Stable,222,86,0.911035418510437,0.3333333333333333,"[""андрей"", ""андрей воробьёв"", ""воробьёв"", ""губернатор"", ""индустриальный""]","[""андрей воробьёв"", ""воробьёв"", ""губернатор"", ""детский"", ""детский сад""]"
Merged,20,"[87, 193]",0.8615264892578125,0.1111111111111111,"[""владимир"", ""владимир путин"", ""мишустин"", ""нацпроект"", ""поручить""]","[""госкорпорация"", ""запчасть"", ""михаил"", ""михаил мишустин"", ""мишустин""]"
Stable,81,90,0.9213405847549438,0.3333333333333333,"[""вырасти"", ""куриный"", ""куриный яйцо"", ""подешеветь"", ""подорожать""]","[""лук"", ""овощ"", ""огурец"", ""подешеветь"", ""подорожание""]"
Stable,146,91,0.9733439683914185,0.25,"[""авария"", ""въезд"", ""движение"", ""дорожный"", ""дтп""]","[""балл"", ""движение"", ""дорога"", ""затор"", ""километр""]"
Merged,84,"[95, 203]",0.9148522615432739,0.3333333333333333,"[""вагон"", ""движение поезд"", ""коми"", ""пассажирский"", ""перегон""]","[""вагон"", ""грузовой"", ""крушение"", ""пассажирский"", ""пассажирский поезд""]"
Stable,200,96,0.9602530002593994,0.5384615384615384,"[""билет"", ""бот"", ""кнопка"", ""нажать"", ""нажать кнопка""]","[""билет"", ""бот"", ""конкурс"", ""нажать"", ""победитель""]"
Stable,114,97,0.9161617755889893,0.5384615384615384,"[""iii"", ""гарри"", ""карл"", ""карл iii"", ""карла""]","[""iii"", ""британский"", ""гарри"", ""карл"", ""карла""]"
Stable,177,98,0.9412540793418884,0.17647058823529413,"[""вооружение"", ""выполнение"", ""выполнение гособоронзаказ"", ""гособоронзаказ"", ""заслушать""]","[""военный округ"", ""войско"", ""группировка"", ""командующий"", ""министр""]"
Merged,8,"[99, 145]",0.923907995223999,0.25,"[""газа"", ""израиль"", ""израильский"", ""иран"", ""нетаньяху""]","[""иерусалим"", ""израиль"", ""израильский"", ""иран"", ""ливан""]"
Stable,238,100,0.8598334193229675,0.05263157894736842,"[""водитель"", ""высадить"", ""девушка"", ""дцп"", ""капот""]","[""автомобиль"", ""задержать"", ""иномарка"", ""машина"", ""погоня""]"
Stable,153,102,0.947320282459259,0.42857142857142855,"[""бегом"", ""дневник"", ""забег"", ""книга"", ""книжный""]","[""дворцовый"", ""дворцовый площадь"", ""дневник"", ""книга"", ""книжный""]"
Merged,64,"[103, 142]",0.7434018850326538,0.17647058823529413,"[""грузинский"", ""грузия"", ""закон"", ""закон иноагент"", ""иноагент""]","[""авиакомпания"", ""авиасообщение"", ""визовый"", ""возобновление"", ""грузинский""]"
Stable,108,106,0.9463433027267456,0.6666666666666666,"[""альянс"", ""генсек"", ""генсек нато"", ""йенс"", ""йенс столтенберг""]","[""альянс"", ""генсек"", ""генсек нато"", ""йенс"", ""йенс столтенберг""]"
Stable,171,107,0.9488404989242554,0.5384615384615384,"[""баллистический"", ""баллистический ракета"", ""кндр"", ""корея"", ""ракета""]","[""баллистический"", ""баллистический ракета"", ""ким"", ""ким чен"", ""кндр""]"
Stable,105,108,0.9489142894744873,0.3333333333333333,"[""атор"", ""бронирование"", ""отдых"", ""отель"", ""россиянин""]","[""авиабилет"", ""вырасти"", ""отдых"", ""перелёт"", ""россиянин""]"
Stable,157,110,0.9636335372924805,0.3333333333333333,"[""жку"", ""жкх"", ""июль"", ""квитанция"", ""коммунальный""]","[""жку"", ""жкх"", ""замена"", ""коммунальный"", ""норматив""]"
Stable,168,112,0.9168211817741394,0.3333333333333333,"[""автотранспорт"", ""восстановить"", ""движение"", ""движение автотранспорт"", ""информационный центр""]","[""автомобильный"", ""восстановить"", ""движение"", ""железнодорожный"", ""крым""]"
Merged,214,"[114, 235]",0.8907703161239624,0.25,"[""банк"", ""банк россия"", ""клиент"", ""комиссия"", ""лимит""]","[""банк"", ""банк россия"", ""валюта"", ""кошелёк"", ""лимит""]"
Stable,150,116,0.8125191926956177,0.17647058823529413,"[""атака"", ""атака беспилотник"", ""беспилотник"", ""бпнуть"", ""возгорание""]","[""беспилотник"", ""беспилотник упасть"", ""бпнуть"", ""воронеж"", ""воронежский""]"
Stable,123,117,0.9549814462661743,0.3333333333333333,"[""адрес"", ""вода"", ""водоснабжение"", ""горячий"", ""горячий вода""]","[""адрес"", ""вода"", ""горячий вода"", ""остаться"", ""отключение""]"
Merged,232,"[118, 178]",0.909603476524353,0.17647058823529413,"[""бояться"", ""бояться говорить"", ""говорить правда"", ""головной мозг"", ""правда""]","[""название"", ""памятник"", ""переименовать"", ""поляк"", ""российский империя""]"
Stable,197,119,0.7243589758872986,0.1111111111111111,"[""асв"", ""банк"", ""банковский"", ""вклад"", ""киви""]","[""банк"", ""банковский"", ""банковский система"", ""банкротство"", ""крах""]"
Stable,181,120,0.9725067615509033,0.5384615384615384,"[""perm"", ""комсомольский правда"", ""настраивать"", ""пермский"", ""пермь""]","[""radiokp"", ""ирина"", ""пермский"", ""пермский край"", ""пермь""]"
Stable,79,121,0.936744213104248,0.3333333333333333,"[""доход"", ""изменение"", ""минфин"", ""налог"", ""налоговый""]","[""бизнес"", ""взнос"", ""минфин"", ""налог"", ""налоговый""]"
Stable,246,122,0.7978726625442505,0.05263157894736842,"[""open"", ""американка"", ""андреев"", ""корт"", ""круг""]","[""даниил"", ""корона"", ""матч"", ""медведев"", ""новак""]"
Stable,142,123,0.9660022258758545,0.5384615384615384,"[""вещество"", ""грамм"", ""задержать"", ""запретить вещество"", ""изъять""]","[""вещество"", ""грамм"", ""задержать"", ""закладка"", ""изъять""]"
Stable,144,124,0.9667034149169922,0.3333333333333333,"[""военнопленный"", ""военнослужащий"", ""возвратить"", ""обмен"", ""освободить""]","[""вернуться"", ""военнослужащий"", ""военнослужащий который"", ""возвратить"", ""освободить""]"
Merged,151,"[125, 165]",0.8378962874412537,0.1111111111111111,"[""движение лгбт"", ""запретить"", ""извращенец"", ""издательство"", ""книга""]","[""youtube"", ""блокировка"", ""доступ"", ""заблокировать"", ""запретить""]"
Stable,67,126,0.8782907724380493,0.1111111111111111,"[""билет"", ""вход"", ""вход свободный"", ""выставка"", ""выходной""]","[""балет"", ""выпускник"", ""день россия"", ""июнь"", ""концерт""]"
Merged,35,"[128, 131]",0.9351072311401367,0.25,"[""видео минобороны"", ""войско"", ""всу"", ""группировка"", ""группировка войско""]","[""бронетехника"", ""видео минобороны"", ""всу"", ""кадр"", ""минобороны""]"
Stable,154,129,0.7408233880996704,0.25,"[""василий голубеть"", ""голубеть"", ""завод"", ""инвестиция"", ""млрд""]","[""башкирия"", ""инвестиция"", ""млн"", ""млн рубль"", ""млрд""]"
Stable,145,133,0.9294270873069763,0.5384615384615384,"[""агентство атомный"", ""атомный"", ""атомный электростанция"", ""аэс"", ""гросся""]","[""атомный"", ""аэс"", ""гендиректор"", ""запорожский"", ""запорожский аэс""]"
Merged,57,"[134, 172, 177]",0.9161246418952942,0.3333333333333333,"[""военный помощь"", ""законопроект"", ""конгресс"", ""конгресс сша"", ""пакет""]","[""боеприпас"", ""военный помощь"", ""млрд"", ""новый пакет"", ""пакет""]"
Stable,53,136,0.827477753162384,0.05263157894736842,"[""аппарат"", ""беспилотный"", ""дрон"", ""калибр"", ""комплекс""]","[""адмирал"", ""боевой"", ""вмф"", ""внезапный"", ""гиперзвуковой""]"
Stable,216,137,0.9210321307182312,0.42857142857142855,"[""апрель"", ""военный"", ""военный операция"", ""июнь"", ""май""]","[""военный"", ""военный операция"", ""обстановка"", ""операция"", ""россия украина""]"
Stable,96,138,0.9091102480888367,0.42857142857142855,"[""банк"", ""годовой"", ""инфляция"", ""ключевой"", ""ключевой ставка""]","[""банк"", ""банк россия"", ""ключевой"", ""ключевой ставка"", ""монета""]"
Stable,39,139,0.7510356903076172,0.05263157894736842,"[""apple"", ""iphone"", ""microsoft"", ""интеллект"", ""искусственный""]","[""twitter"", ""аккаунт"", ""владелец"", ""илона"", ""илона маск""]"
Stable,118,141,0.7692910432815552,0.0,"[""вуз"", ""выпускник"", ""государственный экзамен"", ""егэ"", ""единый государственный""]","[""задание"", ""защита родина"", ""заявить министр"", ""история"", ""кравцов""]"
Stable,27,143,0.7148157954216003,0.0,"[""боевик"", ""дагестан"", ""дербент"", ""контртеррористический"", ""контртеррористический операция""]","[""армия"", ""быстрый"", ""вооружённый"", ""захватить"", ""посольство""]"
Stable,213,144,0.9520341157913208,0.17647058823529413,"[""апрель май"", ""выходной"", ""выходной день"", ""длинный"", ""длинный выходной""]","[""выходной"", ""день"", ""май"", ""майский"", ""майский праздник""]"
Merged,155,"[146, 207]",0.9721416234970093,0.42857142857142855,"[""автоэксперт"", ""интересный"", ""осн"", ""популярный"", ""почему""]","[""всу"", ""интересный"", ""объяснить"", ""осн"", ""популярный""]"
Stable,132,149,0.9660317897796631,0.6666666666666666,"[""беременность"", ""больница"", ""врач"", ""операция"", ""опухоль""]","[""беременность"", ""больница"", ""врач"", ""диагностировать"", ""медик""]"
Stable,98,150,0.9200391173362732,0.1111111111111111,"[""интерактивный"", ""кавказ"", ""краснодарский"", ""краснодарский край"", ""медиа""]","[""rbc"", ""rostov"", ""архив"", ""бизнес"", ""директор""]"
Merged,163,"[151, 171, 181]",0.8608554005622864,0.0,"[""наблюдать"", ""небо"", ""необычный"", ""облако"", ""оптический""]","[""добрый"", ""добрый утро"", ""закат"", ""красивый"", ""красота""]"
Stable,141,152,0.9224976301193237,0.17647058823529413,"[""актуальный"", ""блокнот"", ""вакансия"", ""волгоград"", ""звонить""]","[""блокнот"", ""блокнот волгоград"", ""вакансия"", ""группа"", ""звонить""]"
Stable,72,155,0.9554482102394104,0.5384615384615384,"[""индивидуальный"", ""камера"", ""мобильность"", ""нарушение"", ""пдд""]","[""индивидуальный"", ""мобильность"", ""пдд"", ""передвижение"", ""правило""]"
